AgNO3, 133.29, 131.29, 130.45, 127.14, 124.70, 121.35, 115.18, 109.09
1/2BaCl2, 139.91, 135.89, 134.27, 127.96, 123.88, 119.03, 111.42, 105.14
1/2CaCl2, 135.77, 131.86, 130.30, 124.19, 120.30, 115.59, 108.42, 102.41
1/2Ca(OH)2, 258, —, —, 233, 226, 214, —, —
CuSO4, 133.6, 121.6, 115.20, 94.02, 83.08, 72.16, 59.02, 50.55
HCl, 425.95, 422.53, 421.15, 415.59, 411.80, 407.04, 398.89, 391.13
KBr, 151.9, 149.8, 148.9, 146.02, 143.36, 140.41, 135.61, 131.32
KCl, 149.79, 147.74, 146.88, 143.48, 141.20, 138.27, 133.30, 128.90
KClO4, 139.97, 138.69, 137.80, 134.09, 131.39, 127.86, 121.56, 115.14
1/3K3Fe(CN)6, 174.5, 166.4, 163.1, 150.7, —, —, —, —
1/4K4Fe(CN)6, 184, —, 167.16, 146.02, 134.76, 122.76, 107.65, 97.82
KHCO3, 117.94, 116.04, 115.28, 112.18, 110.03, 107.17, —, —
KI, 150.31, 148.2, 143.32, 144.30, 142.11, 139.38, 134.90, 131.05
KIO4, 127.86, 125.74, 124.88, 121.18, 118.45, 114.08, 106.67, 98.2
KNO3, 144.89, 142.70, 141.77, 138.41, 132.75, 132.34, 126.25, 120.34
KMnO4, 134.8, 132.7, 131.9, —, 126.5, —, —, 113
KOH, 271.5, —, 234, 230, 228, —, 219, 213
KReO4, 128.20, 126.03, 125.12, 121.31, 118.49, 114.49, 106.40, 97.40
1/3LaCl3, 145.9, 139.6, 137.0, 127.5, 121.8, 115.3, 106.2, 99.1
LiCl, 114.97, 113.09, 112.34, 109.35, 107.27, 104.60, 100.06, 95.81
LiClO4, 105.93, 104.13, 103.39, 100.52, 98.56, 96.13, 92.15, 88.52
1/2MgCl2, 129.34, 125.55, 124.15, 118.25, 114.49, 109.99, 103.03, 97.05
NH4Cl, 149.6, 147.5, 146.7, 143.9, 141.21, 138.25, 133.22, 128.69
NaCl, 126.39, 124.44, 123.68, 120.59, 118.45, 115.70, 111.01, 106.69
NaClO4, 117.42, 115.58, 114.82, 111.70, 109.54, 106.91, 102.35, 98.38
NaI, 126.88, 125.30, 124.19, 121.19, 119.18, 116.64, 112.73, 108.73
NaOOCCH3, 91.0, 89.2, 88.5, 85.68, 83.72, 81.20, 76.88, 72.76
NaOH, 247.7, 245.5, 244.6, 240.7, 237.9, —, —, —
Na picrate, 80.45, 78.7, 78.6, 75.7, 73.7, —, 66.3, 61.8
1/2Na2SO4, 129.8, 125.68, 124.09, 117.09, 112.38, 106.73, 97.70, 89.94
1/2SrCl2, 135.73, 131.84, 130.27, 124.18, 120.23, 115.48, 108.20, 102.14
ZnSO4, 132.7, 121.3, 114.47, 95.44, 84.87, 74.20, 61.17, 52.61
